Loading Matrix-market coordinate-formatted graph ...
Reading from ../../../maps/gh009.mtx:
  Parsing MARKET COO format (16777216 nodes, 265114400 directed edges)... Done parsing (46s).
  Converting 16777216 vertices, 265114400 directed edges (unordered tuples) to CSR format...
Done converting (6s).

Degree Histogram (16777216 vertices, 265114400 edges):
    Degree   0: 1 (0.00%)
    Degree 2^0: 54 (0.00%)
    Degree 2^1: 2064 (0.01%)
    Degree 2^2: 190846 (1.14%)
    Degree 2^3: 7967474 (47.49%)
    Degree 2^4: 8612951 (51.34%)
    Degree 2^5: 3826 (0.02%)

Using 1 GPU: [ 0 ].
Using traversal mode LB
__________________________
0	 1145	 0	 queue3 	 oversize :	 22618861 ->	 22657595
0	 1147	 0	 queue3 	 oversize :	 22657595 ->	 22700704
0	 1148	 0	 queue3 	 oversize :	 22700704 ->	 22734590
0	 1149	 0	 queue3 	 oversize :	 22734590 ->	 22752578
0	 1150	 0	 queue3 	 oversize :	 22752578 ->	 22801451
0	 1151	 0	 queue3 	 oversize :	 22801451 ->	 22805398
0	 1152	 0	 queue3 	 oversize :	 22805398 ->	 22856605
0	 1153	 0	 queue3 	 oversize :	 22856605 ->	 22869056
0	 1154	 0	 queue3 	 oversize :	 22869056 ->	 22904163
0	 1155	 0	 queue3 	 oversize :	 22904163 ->	 22941480
0	 1156	 0	 queue3 	 oversize :	 22941480 ->	 22953945
0	 1157	 0	 queue3 	 oversize :	 22953945 ->	 22981675
0	 1158	 0	 queue3 	 oversize :	 22981675 ->	 23023787
0	 1159	 0	 queue3 	 oversize :	 23023787 ->	 23041375
0	 1160	 0	 queue3 	 oversize :	 23041375 ->	 23062604
0	 1161	 0	 queue3 	 oversize :	 23062604 ->	 23108376
0	 1162	 0	 queue3 	 oversize :	 23108376 ->	 23119583
0	 1163	 0	 queue3 	 oversize :	 23119583 ->	 23128905
0	 1164	 0	 queue3 	 oversize :	 23128905 ->	 23186539
0	 1165	 0	 queue3 	 oversize :	 23186539 ->	 23203012
0	 1166	 0	 queue3 	 oversize :	 23203012 ->	 23226194
0	 1167	 0	 queue3 	 oversize :	 23226194 ->	 23238077
0	 1168	 0	 queue3 	 oversize :	 23238077 ->	 23254780
0	 1169	 0	 queue3 	 oversize :	 23254780 ->	 23294538
0	 1170	 0	 queue3 	 oversize :	 23294538 ->	 23306110
0	 1171	 0	 queue3 	 oversize :	 23306110 ->	 23349250
0	 1172	 0	 queue3 	 oversize :	 23349250 ->	 23378951
0	 1173	 0	 queue3 	 oversize :	 23378951 ->	 23433639
0	 1174	 0	 queue3 	 oversize :	 23433639 ->	 23466152
0	 1175	 0	 queue3 	 oversize :	 23466152 ->	 23505446
0	 1176	 0	 queue3 	 oversize :	 23505446 ->	 23511629
0	 1177	 0	 queue3 	 oversize :	 23511629 ->	 23546888
0	 1178	 0	 queue3 	 oversize :	 23546888 ->	 23582816
0	 1179	 0	 queue3 	 oversize :	 23582816 ->	 23608170
0	 1180	 0	 queue3 	 oversize :	 23608170 ->	 23630221
0	 1181	 0	 queue3 	 oversize :	 23630221 ->	 23659914
0	 1182	 0	 queue3 	 oversize :	 23659914 ->	 23671858
0	 1183	 0	 queue3 	 oversize :	 23671858 ->	 23694466
0	 1184	 0	 queue3 	 oversize :	 23694466 ->	 23731187
0	 1185	 0	 queue3 	 oversize :	 23731187 ->	 23772851
0	 1186	 0	 queue3 	 oversize :	 23772851 ->	 23820964
0	 1187	 0	 queue3 	 oversize :	 23820964 ->	 23864369
0	 1188	 0	 queue3 	 oversize :	 23864369 ->	 23893909
0	 1189	 0	 queue3 	 oversize :	 23893909 ->	 23898276
0	 1190	 0	 queue3 	 oversize :	 23898276 ->	 23918617
0	 1191	 0	 queue3 	 oversize :	 23918617 ->	 23980520
0	 1192	 0	 queue3 	 oversize :	 23980520 ->	 24010912
0	 1193	 0	 queue3 	 oversize :	 24010912 ->	 24042814
0	 1194	 0	 queue3 	 oversize :	 24042814 ->	 24055747
0	 1195	 0	 queue3 	 oversize :	 24055747 ->	 24070204
0	 1196	 0	 queue3 	 oversize :	 24070204 ->	 24101166
0	 1198	 0	 queue3 	 oversize :	 24101166 ->	 24134365
0	 1199	 0	 queue3 	 oversize :	 24134365 ->	 24190513
0	 1200	 0	 queue3 	 oversize :	 24190513 ->	 24231240
0	 1201	 0	 queue3 	 oversize :	 24231240 ->	 24271481
0	 1202	 0	 queue3 	 oversize :	 24271481 ->	 24307495
0	 1204	 0	 queue3 	 oversize :	 24307495 ->	 24344891
0	 1205	 0	 queue3 	 oversize :	 24344891 ->	 24389010
0	 1206	 0	 queue3 	 oversize :	 24389010 ->	 24425180
0	 1207	 0	 queue3 	 oversize :	 24425180 ->	 24457659
0	 1208	 0	 queue3 	 oversize :	 24457659 ->	 24494300
0	 1209	 0	 queue3 	 oversize :	 24494300 ->	 24511673
0	 1210	 0	 queue3 	 oversize :	 24511673 ->	 24557644
0	 1211	 0	 queue3 	 oversize :	 24557644 ->	 24583451
0	 1212	 0	 queue3 	 oversize :	 24583451 ->	 24625283
0	 1215	 0	 queue3 	 oversize :	 24625283 ->	 24653296
0	 1216	 0	 queue3 	 oversize :	 24653296 ->	 24666745
0	 1217	 0	 queue3 	 oversize :	 24666745 ->	 24718326
0	 1218	 0	 queue3 	 oversize :	 24718326 ->	 24738109
